epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.975,0.79128,3.81954,0.9372,0.00333,1,0.4215,0.34595,0.64382,4.02368,0.8671,0.00013336,0.00013336,0.00013336
2,268.825,0.76286,2.22916,0.89409,0.00333,1,0.73497,0.51769,0.7175,3.78094,0.86222,0.000269362,0.000269362,0.000269362
3,332.413,0.61415,2.57571,0.792,0.00336,1,0.33523,0.26898,0.55662,3.77942,0.84509,0.000390511,0.000390511,0.000390511
4,395.88,0.65174,1.64691,0.88623,0.00329,0.97368,0.39796,0.30977,0.59742,3.67352,0.87376,0.000496808,0.000496808,0.000496808
5,461.15,0.73694,1.35845,0.90093,0.00338,1,0.42045,0.37269,0.6517,3.75344,0.89091,0.000588251,0.000588251,0.000588251
6,523.87,0.62887,2.02195,0.78726,0.00341,1,0.63867,0.55741,0.57052,3.69885,0.86772,0.000664841,0.000664841,0.000664841
7,585.706,0.74003,1.32686,0.91192,1,0.20801,0.80102,0.67475,0.58965,3.59133,0.87944,0.000726579,0.000726579,0.000726579
8,647.674,0.67658,1.27027,0.89408,1,0.29035,0.97057,0.83451,0.61893,3.21517,0.89551,0.000773463,0.000773463,0.000773463
9,708.919,0.68312,1.22054,0.90663,1,0.1683,0.97024,0.83969,0.59721,3.17885,0.88377,0.000805494,0.000805494,0.000805494
10,771.99,0.71685,1.181,0.90264,0.98796,0.96174,0.97116,0.83121,0.70334,2.50791,0.92518,0.000822673,0.000822673,0.000822673
11,833.847,0.64101,1.37211,0.90226,0.99061,0.98136,0.995,0.83776,0.60994,2.43268,0.89221,0.000824998,0.000824998,0.000824998
12,895.348,0.62216,1.40651,0.85673,0.98312,0.9943,0.995,0.86685,0.572,1.84625,0.88247,0.000759318,0.000759318,0.000759318
13,957.237,0.6093,1.25957,0.86833,0.9755,1,0.995,0.86799,0.53495,1.83835,0.86256,0.000676802,0.000676802,0.000676802
14,1018.25,0.61725,1.24878,0.89645,0.97336,1,0.995,0.87847,0.53239,1.61952,0.87334,0.000594286,0.000594286,0.000594286
15,1079.28,0.51957,1.13193,0.86383,0.98382,1,0.995,0.86162,0.57551,1.34862,0.88739,0.000511769,0.000511769,0.000511769
16,1140.41,0.56324,1.1404,0.87084,0.99397,1,0.995,0.89433,0.4981,1.20027,0.85935,0.000429253,0.000429253,0.000429253
17,1201.95,0.58881,1.11742,0.8642,0.99358,1,0.995,0.88577,0.54022,1.12246,0.86467,0.000346736,0.000346736,0.000346736
18,1262.84,0.55495,1.09532,0.83212,0.99449,1,0.995,0.88963,0.51391,1.09244,0.86021,0.00026422,0.00026422,0.00026422
19,1325,0.53154,1.09295,0.88815,0.99518,1,0.995,0.89222,0.49761,1.06681,0.8567,0.000181703,0.000181703,0.000181703
20,1387.35,0.50416,1.03056,0.80687,0.9949,1,0.995,0.89385,0.49367,1.02446,0.85591,9.91865e-05,9.91865e-05,9.91865e-05
